Distributor,ChemistType,Chemist,Products,M0123_Units,M0223_Units,M0323_Units,M0423_Units,M0523_Units,M0623_Units,M0723_Units,M0823_Units,M0923_Units,M1023_Units,M1123_Units,M1223_Units,total2023,M0124_Units,M0224_Units,M0324_Units,M0424_Units,M0524_Units,M0624_Units,M0724_Units,M0824_Units,M0924_Units,M1024_Units,M1124_Units,M1224_Units,M0125_Units,M0225_Units,M0325_Units,M0425_Units,M0525_Units,M0625_Units,M0725_Units,M0825_Units,M0925_Units,M1025_Units,M1125_Units,M1225_Units,M0123_Value,M0223_Value,M0323_Value,M0423_Value,M0523_Value,M0623_Value,M0723_Value,M0823_Value,M0923_Value,M1023_Value,M1123_Value,M1223_Value,M0124_Value,M0224_Value,M0324_Value,M0424_Value,M0524_Value,M0624_Value,M0724_Value,M0824_Value,M0924_Value,M1024_Value,M1124_Value,M1224_Value,M0125_Value,M0225_Value,M0325_Value,M0425_Value,M0525_Value,M0625_Value,M0725_Value,M0825_Value,M0925_Value,M1025_Value,M1125_Value,M1225_Value
Distributor-1,R,Chemist-33332,Prod-1, -   , -   , 1 , -   , 2 , -   , -   , -   , -   , 4 , -   , -   , 7 , -   , -   , -   , -   , -   , 2 , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , 2 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 530 , -   ," 1,059 ", -   , -   , -   , -   ," 2,545 ", -   , -   , -   , -   , -   , -   , -   ," 1,273 ", -   , -   , -   ," 1,273 ", -   , -   , -   , -   , -   , -   ," 1,273 ", -   , -   , 636 , -   , -   , -   , -   
Distributor-1,R,Chemist-4385,Prod-1, -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 530 , -   , 530 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-3633,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , (10), -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,273 ", -   ," (6,364)", -   ," 1,273 ", -   , -   , -   , -   , -   
Distributor-1,R,Chemist-4888,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 530 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-30689,Prod-1, 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 530 , -   , -   , -   , 530 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,W,Chemist-8246,Prod-1, -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , 3 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , 3 , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,059 ", -   , -   , -   , -   , -   ," 1,909 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,545 ", -   ," 1,909 ", -   , -   ," 1,273 ", -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-3551,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   , -   ," 1,273 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-2843,Prod-1, -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,296 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-19794,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 , -   , 5 , 2 , -   , 3 , 2 , -   , -   , -   , -   , 2 , -   , (5), 3 , -   , (1), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,273 ", -   ," 3,182 "," 1,273 ", -   ," 1,909 "," 1,273 ", -   , -   , -   , -   ," 1,273 ", -   ," (3,182)"," 1,909 ", -   , (636), -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-28973,Prod-1, -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , (2), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 530 , 530 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   , -   , -   , -   , -   , -   , -   ," (1,273)", -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-24529,Prod-1, -   , 2 , 1 , -   , -   , 2 , -   , -   , 1 , -   , -   , 1 , 7 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 1 , -   , 2 , -   , -   , -   , -   , -   , -   ," 1,059 ", 530 , -   , -   ," 1,059 ", -   , -   , 530 , -   , -   , 636 , -   , -   , -   , -   , -   , 636 , -   , -   , -   , -   , -   , -   , -   , -   ," 1,273 ", -   , 636 , -   ," 1,273 ", -   , -   , -   , -   , -   
Distributor-1,R,Chemist-44014,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,182 ", -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-24443,Prod-1, -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , -   , 4 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 3 , 1 , (1), 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,119 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   ," 1,909 ", 636 , (636)," 1,273 ", -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-5764,Prod-1, -   , -   , -   , -   , (2), -   , -   , -   , -   , -   , -   , -   , (2), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," (1,059)", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-23588,Prod-1, -   , 3 , 3 , 2 , 4 , 2 , 1 , 2 , 1 , -   , 2 , -   , 20 , -   , 4 , 4 , -   , -   , 1 , 1 , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,589 "," 1,589 "," 1,059 "," 2,119 "," 1,059 ", 530 ," 1,059 ", 530 , -   ," 1,273 ", -   , -   ," 2,545 "," 2,545 ", -   , -   , 636 , 636 , -   , -   ," 1,273 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-30564,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-19338,Prod-1, 4 , 5 , 4 , 4 , 8 , 7 , 6 , 11 , 8 , 8 , 6 , -   , 71 , 2 , -   , -   , 5 , 4 , 5 , 7 , -   , 4 , 3 , -   , 2 , -   , -   , 4 , -   , 6 , -   , 9 , -   , -   , -   , -   , -   ," 2,119 "," 2,648 "," 2,119 "," 2,119 "," 4,237 "," 3,707 "," 3,178 "," 5,826 "," 4,237 "," 5,091 "," 3,818 ", -   ," 1,273 ", -   , -   ," 3,182 "," 2,545 "," 3,182 "," 4,454 ", -   ," 2,545 "," 1,909 ", -   ," 1,273 ", -   , -   ," 2,545 ", -   ," 3,818 ", -   ," 5,727 ", -   , -   , -   , -   , -   
Distributor-1,R,Chemist-2175,Prod-1, -   , 2 , -   , -   , -   , -   , 3 , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ," 1,059 ", -   , -   , -   , -   ," 1,589 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-14283,Prod-1, -   , -   , 12 , 8 , -   , 20 , 10 , -   , -   , -   , 10 , -   , 60 , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 6,356 "," 4,237 ", -   ," 10,593 "," 5,296 ", -   , -   , -   ," 6,364 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 6,364 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-48157,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-39641,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,182 ", -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-52622,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-81041,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,273 ", -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-27543,Prod-1, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 530 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-5731,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-40881,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 , -   , -   , -   , -   , -   , 2 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,273 ", -   , -   , -   , -   , -   ," 1,273 ", 636 , 636 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-85642,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 3 , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,909 ", -   , -   , -   ," 1,273 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-2040,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-17342,Prod-1, 2 , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 3 , 7 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , (1), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,059 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,273 ", -   ," 1,909 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , (636), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-3495,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,273 ", 636 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-35597,Prod-1, 5 , -   , 10 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , 1 , -   , -   , -   , -   ," 2,648 ", -   ," 5,296 ", -   ," 2,648 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,909 ", -   , -   , -   , -   , 636 , -   , -   , -   , -   
Distributor-1,R,Chemist-39214,Prod-1, -   , -   , 8 , 6 , -   , -   , -   , -   , -   , -   , -   , -   , 14 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,237 "," 3,178 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-64400,Prod-1, 2 , -   , -   , -   , -   , 2 , -   , -   , -   , 5 , -   , -   , 9 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,059 ", -   , -   , -   , -   ," 1,059 ", -   , -   , -   ," 3,182 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-31277,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , (2), -   , -   , 3 , 3 , (1), 2 , -   , -   , -   , -   , 3 , 4 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," (1,273)", -   , -   ," 1,909 "," 1,909 ", (636)," 1,273 ", -   , -   , -   , -   ," 1,909 "," 2,545 ", 636 , -   , -   , -   , -   
Distributor-1,R,Chemist-80660,Prod-1, -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 530 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-38229,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , 2 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , 2 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,059 ", -   , -   , -   , 636 , -   , -   , -   , 636 , -   , -   , -   , -   , 636 , 636 , -   , -   , -   ," 1,273 ", -   , 636 , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-14449,Prod-1, 2 , (1), 2 , -   , -   , 4 , 2 , -   , 2 , 3 , -   , -   , 14 , 3 , 4 , 2 , 4 , 1 , 2 , 3 , 4 , 5 , 3 , 3 , 4 , 3 , 4 , 4 , 5 , 3 , -   , 8 , 4 , -   , -   , -   , -   ," 1,059 ", (530)," 1,059 ", -   , -   ," 2,119 "," 1,059 ", -   ," 1,059 "," 1,909 ", -   , -   ," 1,909 "," 2,545 "," 1,273 "," 2,545 ", 636 ," 1,273 "," 1,909 "," 2,545 "," 3,182 "," 1,909 "," 1,909 "," 2,545 "," 1,909 "," 2,545 "," 2,545 "," 3,182 "," 1,909 ", -   ," 5,091 "," 2,545 ", -   , -   , -   , -   
Distributor-1,R,Chemist-37612,Prod-1, -   , -   , 2 , 2 , -   , -   , -   , -   , 1 , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , (2), -   , -   , -   , 1 , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,059 "," 1,059 ", -   , -   , -   , -   , 530 , -   , -   , -   , -   , -   , -   , -   , -   , -   ," (1,273)", -   , -   , -   , 636 , -   , -   , -   , -   , -   ," 1,273 ", -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-63465,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,909 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-17865,Prod-1, -   , -   , -   , 2 , -   , 2 , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , (5), -   , -   , -   , -   , -   , -   , -   , -   ," 1,059 ", -   ," 1,059 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,273 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," (3,182)", -   , -   , -   , -   , -   
Distributor-1,R,Chemist-24161,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 2 , -   , -   , -   , -   , 2 , -   , 1 , 1 , -   , -   , -   , 2 , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , 636 , -   , -   , -   , -   ," 1,273 ", -   , 636 , 636 , -   , -   , -   ," 1,273 ", 636 , -   , 636 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-34496,Prod-1, 2 , 2 , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , 6 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,059 "," 1,059 ", -   , -   , -   ," 1,059 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,D,Chemist-30884,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-24955,Prod-1, -   , -   , -   , -   , -   , -   , 1 , 2 , 3 , -   , -   , -   , 6 , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , 1 , 2 , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 530 ," 1,059 "," 1,589 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,273 ", -   , -   , -   , -   , 636 ," 1,273 ", -   , -   , -   , -   , -   ," 1,273 ", -   , -   , -   , -   , -   
Distributor-1,R,Chemist-7959,Prod-1, -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , 1 , 1 , -   , -   , 4 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,648 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , 636 , -   , -   ," 2,545 ", 636 , -   , -   , -   , -   , -   , -   , -   , -   ," 1,909 ", 636 , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-73139,Prod-1, -   , -   , -   , -   , -   , (2), -   , -   , -   , -   , -   , -   , (2), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," (1,059)", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-22020,Prod-1, -   , -   , -   , -   , -   , -   , 5 , -   , 5 , -   , -   , 5 , 15 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,648 ", -   ," 2,648 ", -   , -   ," 3,182 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   , 636 , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-10677,Prod-1, -   , -   , -   , -   , -   , -   , (1), -   , -   , -   , -   , -   , (1), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , (530), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-32738,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,273 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-42614,Prod-1, -   , -   , 3 , -   , 1 , -   , 2 , -   , -   , -   , -   , -   , 6 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,589 ", -   , 530 , -   ," 1,059 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Distributor-1,R,Chemist-12760,Prod-1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 636 , -   , -   , -   , -   
